rat,rsrp,rsrq,snr,pci,deltaTcpKernelLossRate,deltaDnsRttAvg,deltaTcpKernelRttAvg,dlRateBps,ulRateBps,retans,totalretrans,unacked,retransmit,lostCount,avgRttVar,minRtt,avgRtt,isVedioDataStall,isVideoFront
20.0,-87.0,-11.0,18.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,76182.0,12692.0,103791.0,1.0,0.0
20.0,-87.0,-11.0,18.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,74919.0,12692.0,101826.0,1.0,0.0
20.0,-87.0,-11.0,18.0,0.0,0.0,-1.0,7.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,74445.0,12692.0,94452.0,1.0,0.0
20.0,-87.0,-11.0,18.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74457.0,12692.0,94223.0,1.0,0.0
20.0,-87.0,-11.0,18.0,0.0,0.0,-1.0,-1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,71300.0,12692.0,91054.0,1.0,0.0
20.0,-87.0,-11.0,18.0,0.0,0.0,-1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61061.0,12692.0,78535.0,1.0,0.0
13.0,-104.0,-6.0,12.0,1.0,0.0,0.0,-1.0,0.0,4.0,0.0,3.0,10.0,0.0,0.0,60639.0,12692.0,78713.0,1.0,0.0
13.0,-93.0,-8.0,11.0,1.0,0.0,0.0,-1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,85110.0,12692.0,93513.0,1.0,0.0
13.0,-93.0,-8.0,11.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,85110.0,12692.0,93513.0,1.0,0.0
13.0,-93.0,-8.0,11.0,0.0,0.0,-1.0,-15.0,0.0,8.0,0.0,2.0,3.0,0.0,0.0,108763.0,12692.0,109063.0,1.0,0.0
13.0,-85.0,-6.0,21.0,0.0,1.0,-1.0,1.0,23.0,6.0,1.0,12.0,5.0,1.0,1.0,136524.0,-1.0,114961.0,1.0,0.0
13.0,-85.0,-6.0,21.0,0.0,1.0,747.0,-1.0,166.0,8.0,3.0,11.0,10.0,3.0,3.0,165185.0,-1.0,132360.0,1.0,0.0
13.0,-85.0,-6.0,21.0,0.0,-21.0,-1.0,-1.0,183.0,6.0,0.0,0.0,3.0,0.0,0.0,159919.0,12692.0,225141.0,1.0,0.0
13.0,-85.0,-6.0,21.0,0.0,0.0,87.0,30.0,63.0,4.0,0.0,4.0,2.0,0.0,0.0,191590.0,12692.0,316425.0,1.0,0.0
13.0,-85.0,-6.0,21.0,0.0,0.0,-1.0,-1.0,223.0,10.0,1.0,6.0,14.0,1.0,1.0,209348.0,-1.0,271506.0,0.0,1.0
13.0,-95.0,-6.0,25.0,0.0,-11.0,-1.0,-112.0,209.0,7.0,1.0,3.0,13.0,1.0,11.0,220089.0,12692.0,383976.0,0.0,1.0
13.0,-95.0,-6.0,25.0,0.0,0.0,-1.0,25.0,103.0,4.0,2.0,4.0,14.0,2.0,12.0,227027.0,-1.0,307848.0,1.0,0.0
13.0,-95.0,-6.0,25.0,0.0,0.0,5698.0,49.0,75.0,7.0,2.0,5.0,19.0,3.0,12.0,230640.0,-1.0,258563.0,1.0,0.0
13.0,-95.0,-6.0,25.0,0.0,45.0,-1.0,-1.0,1.0,6.0,9.0,17.0,24.0,15.0,22.0,230639.0,16625.0,258564.0,1.0,0.0
13.0,-95.0,-6.0,25.0,0.0,-1.0,-1.0,-1.0,0.0,3.0,10.0,13.0,27.0,20.0,25.0,246806.0,-1.0,318531.0,1.0,0.0
13.0,-120.0,-10.0,5.0,0.0,-1.0,14013.0,99.0,1.0,2.0,4.0,10.0,26.0,14.0,16.0,360263.0,16625.0,517508.0,1.0,0.0
13.0,-120.0,-10.0,5.0,0.0,-25.0,9012.0,-68.0,1.0,3.0,7.0,10.0,29.0,15.0,19.0,366366.0,-1.0,380271.0,1.0,0.0
13.0,-91.0,-6.0,20.0,1.0,-1.0,596.0,-61.0,151.0,17.0,3.0,6.0,16.0,8.0,15.0,213091.0,16625.0,319069.0,1.0,0.0
20.0,-88.0,-11.0,22.0,1.0,0.0,90.0,4.0,418.0,12.0,2.0,4.0,14.0,7.0,14.0,176972.0,16625.0,328359.0,1.0,0.0
20.0,-88.0,-11.0,22.0,0.0,0.0,25.0,-9.0,1389.0,23.0,1.0,6.0,11.0,3.0,11.0,134113.0,16625.0,249430.0,1.0,0.0
20.0,-88.0,-11.0,22.0,0.0,0.0,-1.0,-5.0,778.0,13.0,1.0,0.0,11.0,3.0,11.0,135828.0,16625.0,254902.0,1.0,0.0
20.0,-88.0,-11.0,22.0,0.0,0.0,35.0,-1.0,201.0,7.0,1.0,0.0,11.0,3.0,11.0,121930.0,16625.0,243342.0,1.0,1.0
20.0,-85.0,-11.0,8.0,0.0,0.0,0.0,-9.0,459.0,25.0,1.0,0.0,2.0,7.0,1.0,229192.0,24029.0,318152.0,1.0,1.0
20.0,-85.0,-11.0,8.0,0.0,1.0,32.0,-20.0,954.0,19.0,0.0,0.0,0.0,0.0,0.0,219707.0,24029.0,297617.0,1.0,1.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,9.0,274.0,13.0,0.0,0.0,1.0,0.0,0.0,209758.0,24029.0,288237.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,41.0,-14.0,257.0,3.0,0.0,0.0,0.0,0.0,0.0,203084.0,22510.0,273976.0,1.0,0.0
20.0,-85.0,-11.0,8.0,0.0,0.0,-1.0,-8.0,135.0,7.0,0.0,0.0,0.0,0.0,0.0,194475.0,18250.0,265420.0,1.0,0.0
